step,game_name,model_mode,observations,actions,selection_info,joint_actions,payoffs,rewards,infos,terminations,truncations
0,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Right."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Right"", ""Agent B"": ""Right""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
1,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Right\n  your payoff: +1.0 | Agent B payoff: +1.0\n\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Right\n  your payoff: +1.0 | Agent A payoff: +1.0\n\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Left.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Left""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
2,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent B payoff: +1.0\n\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent A payoff: +1.0\n\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Left.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Left""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
3,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent B payoff: +1.0\n\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent A payoff: +1.0\n\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Right""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
4,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Left.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Left""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
5,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent B payoff: +1.0\n\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Left\n  your payoff: +1.0 | Agent A payoff: +1.0\n\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Right."", ""Agent B"": ""Choose action: Left.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Right"", ""Agent B"": ""Left""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
6,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Left\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Left\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Right""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
7,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Right""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
8,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Right."", ""Agent B"": ""Choose action: Left.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Right"", ""Agent B"": ""Left""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Left""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
9,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Left\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Left\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Right."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Right"", ""Agent B"": ""Right""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
10,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Right\n  your payoff: +1.0 | Agent B payoff: +1.0\n\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +1.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Right, Agent B: Right\n  your payoff: +1.0 | Agent A payoff: +1.0\n\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Left."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Left"", ""Agent B"": ""Right""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Left"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
11,Pure Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 11/50 (steps remaining: 39)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Left, Agent B: Right\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 11/50 (steps remaining: 39)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Left.\n  [1] Choose action: Right.""}","{""Agent A"": ""Choose action: Right."", ""Agent B"": ""Choose action: Right.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Right"", ""Agent B"": ""Right""}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": 1.0, ""Agent B"": 1.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 12, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 12, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Right"", ""Agent B"": ""Right""}, ""payoffs"": {""Agent A"": 1.0, ""Agent B"": 1.0}}}}","[false, false]","[false, false]"
